ID,Nom,Diamètre (km),Magnitude,Vitesse (km/s)
3012392,(1998 KY26),0.0192555078,25.7,5.2603097225
3092517,(2001 WK15),0.1434019235,21.34,13.5148243736
3370021,(2007 EC),0.095182033,22.23,3.7033712691
3738911,(2015 YA1),0.0334622374,24.5,16.1234503637
3752784,(2016 JC6),0.1414343753,21.37,7.0888537086
3752802,(2016 JN6),0.0175612318,25.9,14.5288150048
3774012,(2017 HK1),0.0253837029,25.1,13.6472481603
3989159,(2020 BZ6),0.0211132445,25.5,5.4668692559
54376459,(2023 OE5),0.0141434375,26.37,3.3178879186
54415889,(2023 XM10),0.049952241,23.63,10.1044283815
54439432,(2024 JC1),0.0253837029,25.1,4.8163882839
54439713,(2024 JP1),0.0182202771,25.82,4.7266559787
54445199,(2024 KB1),0.0059505208,28.25,11.055234952
54445203,(2024 KE1),0.0342416731,24.45,10.8184782085
54445307,(2024 KO1),0.009830033,27.16,6.9627783712
54445313,(2024 KU1),0.0160899605,26.09,7.002575371
54445842,(2024 LA1),0.018304378,25.81,5.6478239437
2014827,14827 Hypnos (1986 JK),0.4597851883,18.81,13.9456518958
2101955,101955 Bennu (1999 RQ36),0.2412986969,20.21,6.615318097
3167364,(2003 WJ98),0.065246163,23.05,12.4071619302
3721118,(2015 LG14),0.0608912622,23.2,6.8050971212
3724245,(2015 OQ21),0.0069912523,27.9,20.2146808675
3773930,(2017 GM7),0.4330668855,18.94,19.4923449213
3825059,(2018 LB),0.0167708462,26.0,11.6958606155
54104267,(2021 AR),0.0431077124,23.95,16.2161803339
54157350,(2021 LR2),0.0267026877,24.99,20.4348056765
54210930,(2021 UK),0.0303777061,24.71,7.4887901581
54225726,(2021 XF),0.0056827032,28.35,14.8314889917
54248851,(2022 DU4),0.0501828101,23.62,8.8944551308
54360100,(2023 KK4),0.0081762653,27.56,22.8847493289
54412468,(2023 XQ),0.0232570687,25.29,15.3968744699
54441685,(2024 JV14),0.0470494961,23.76,16.5991769846
54445206,(2024 KJ1),0.0152249185,26.21,4.1189193395
54445847,(2024 LF1),0.008366715,27.51,8.9381627574
54445920,(2024 LJ1),0.0192555078,25.7,9.6819655921
54485060,(2024 SY4),0.0071212294,27.86,4.0169409672
54533096,(2025 KR1),0.0308428837,24.677,15.4727674403
